;Вінниця;Дніпро;Донецьк;Житомир;Запоріжжя;Івано-Франківськ;Київ;Кропивницький;Луганськ;Луцьк;Львів;Миколаїв;Одеса;Полтава;Рівне;Симферопіль;Суми;Тернопіль;Ужгород;Харків;Херсон;Хмельницький;Черкаси;Чернівці;Чернігів
Вінниця;;571;812;126;637;373;266;317;972;387;369;466;429;576;313;801;611;239;593;720;533;122;340;312;423
Дніпро;571;;250;630;89;952;479;246;401;888;948;329;463;183;814;458;366;818;1 172;222;316;701;326;891;585
Донецьк;812;250;;880;243;1 202;729;496;151;1 138;1 198;579;713;391;1 064;571;488;1 068;1 422;283;535;951;576;1 141;826
Житомир;126;630;880;;719;459;140;434;987;261;407;592;555;494;187;927;485;325;679;638;659;208;352;398;297
Запоріжжя;637;89;243;719;;1 018;568;314;394;977;1 014;352;486;277;903;371;460;884;1 238;303;292;767;415;957;674
Івано-Франківськ;373;952;1 202;459;1 018;;599;698;1 353;273;135;785;658;953;292;1 124;944;137;301;1 097;856;251;721;143;756
Київ;266;479;729;140;568;599;;299;836;398;544;517;480;343;324;852;339;465;819;487;584;348;201;538;151
Кропивницький;317;246;496;434;314;698;299;;647;692;694;180;337;251;618;524;434;564;918;395;251;447;126;637;436
Луганськ;972;401;151;987;394;1 353;836;647;;1 245;1 349;730;864;493;1 171;722;535;1 219;1 573;303;686;1 102;727;1 292;873
Луцьк;387;888;1 138;261;977;273;398;692;1 245;;152;853;816;752;70;1 188;743;164;432;896;920;268;610;336;555
Львів;369;948;1 198;407;1 014;135;544;694;1 349;152;;843;743;898;215;1 178;889;127;278;1 042;910;247;717;278;701
Миколаїв;466;329;579;592;352;785;517;180;730;853;843;;134;488;779;339;671;713;1 067;551;71;596;368;642;671
Одеса;429;463;713;555;486;658;480;337;864;816;743;134;;596;742;473;779;676;959;685;205;559;453;515;634
Полтава;576;183;391;494;277;953;343;251;493;752;898;488;596;;678;631;185;819;1 173;144;499;702;271;892;412
Рівне;313;814;1 064;187;903;292;324;618;1 171;70;215;779;742;678;;1 114;669;158;495;823;846;195;536;331;481
Симферопіль;801;458;571;927;371;1 124;852;524;722;1 188;1 178;339;473;631;1 114;;814;1 048;1 402;657;279;931;649;981;959
Суми;611;366;488;485;460;944;339;434;535;743;889;671;779;183;669;814;;810;1 164;185;682;693;343;883;338
Тернопіль;239;818;1 068;325;884;137;465;564;1 219;163;127;713;676;819;158;1 048;810;;353;963;780;117;587;176;622
Ужгород;593;1 172;1 422;679;1 238;301;819;918;1 573;432;278;1 067;959;1 173;495;1 402;1 164;353;;1 317;1 134;417;941;444;976
Харків;720;222;283;638;303;1 097;487;395;303;896;1 042;551;685;144;823;657;185;963;1 317;;538;846;415;1 036;523
Херсон;533;316;535;659;292;856;584;251;686;920;910;71;205;499;846;279;682;780;1 134;538;;663;411;713;738
Хмельницький;122;701;951;208;767;251;348;447;1 102;268;247;596;559;702;192;931;693;117;471;846;663;;470;190;505
Черкаси;340;326;576;352;415;721;201;126;727;610;717;368;453;271;536;649;343;587;941;415;411;470;;660;311
Чернівці;312;891;1 141;398;957;143;538;637;1 292;336;278;642;515;892;331;981;883;176;444;1 036;713;190;660;;695
Чернігів;423;585;826;297;674;756;151;436;873;555;701;671;634;412;481;959;338;622;976;523;738;505;311;695;
